Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
10.6.13.12;10.6.13.12;RZ1-ESX-41;CL_BEU;in operation;Linux
10.6.8.23;10.6.8.23;RZ2-ESX-39;CL_WEB;in operation;Windows Server 2003 Standard
10.70.150.33;10.70.150.33;RZ2-ESX-41;CL_BEU;in operation;Linux
10.75.2.10;10.75.2.10;RZ2-ESX-37;CL_DMZ;in operation;Windows Server 2008 R2
10.75.2.31;10.75.2.31;RZ2-ESX-36;CL_DMZ;in operation;Windows
10.75.2.32;10.75.2.32;RZ1-ESX-37;CL_DMZ;in operation;Windows
10.75.64.134;10.75.64.134;RZ1-ESX-37;CL_DMZ;in operation;Windows Server 2008
10.75.64.135;10.75.64.135;RZ2-ESX-37;CL_DMZ;in operation;Windows Server 2008
3PAR-SSMC2;10.3.100.14;rz2-esx-32.bev.int;CL_PU;in operation;Debian GNU/Linux 11
AC-PU-01;10.1.6.31;RZ2-ESX-59;CL_WEB;in operation;CentOS 4/5
AC-TU-01;10.1.6.21;RZ1-ESX-32;CL_PU;in operation;Rocky Linux 9.5
AGIS-G3G4-01.bev.int;;RZ1-ESX-33;CL_PU;in operation;Windows Server 2019 Datacenter
AMAP-1;;;;in operation;Rocky Linux 8.6
AMAP-2;10.1.42.82;;;in operation;Rocky Linux 8.6
AMAP-3;10.1.42.85;;;in operation;Rocky Linux 9.2
apexcentral01;10.2.1.115;RZ1-ESX-50;CL_PU;in operation;Windows
ApexMPN;10.1.37.112;;;in operation;Windows Server 2019
apexone01;10.2.1.112;RZ1-ESX-34;CL_PU;in operation;Windows
APOS-CORS-01.bev.int;10.1.4.37;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-BRC-01;10.1.5.121;;;in operation;CentOS 4/5
APOS-EXT-BRC-02;10.1.5.122;RZ1-ESX-38;CL_APOS;in operation;CentOS 4/5
APOS-EXT-CAS-01;10.1.5.41;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-EXT-CAS-02;10.1.5.42;;;in operation;Other 4.x or later Linux
APOS-EXT-CAS-03;10.1.5.43;RZ2-ESX-38;CL_APOS;in operation;CentOS 4/5
APOS-EXT-GPP-01;10.1.5.71;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-02;10.1.5.72;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-03;10.1.5.73;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-11;10.1.5.81;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-12;10.1.5.82;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-13;10.1.5.83;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-14;10.1.5.84;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-15;10.1.5.85;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-21;10.1.5.91;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-22;10.1.5.92;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-23;10.1.5.93;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
