"Title";"connection";"Cable type";"Cable length";"CMDB status"
"KABEL_DEFAULT_1";"SENTRY-1 (eth0) ↔ sentry_onpremise_snuba-subscription-consumer-transactions_1 (eth0@if920)";"";"";"in operation"
"KABEL_DEFAULT_11";"rzv-tcs-01.bev.int (eth0) ↔ vde-postgis (eth0@if7)";"";"";"in operation"
"KABEL_DEFAULT_112";"VDE-4 (eth1) ↔ vde-minio (eth0@if6)";"";"";"in operation"
"KABEL_DEFAULT_115";"AMAP-2 (eth1) ↔ amap-minio (eth0@if20)";"";"";"in operation"
"KABEL_DEFAULT_119";"GRUPU-1 (eth1) ↔ grupu-redis (eth0@if10)";"";"";"in operation"
"KABEL_DEFAULT_13";"VERSION-1 (ens160) ↔ gitlab (eth0@if21)";"";"";"in operation"
"KABEL_DEFAULT_14";"BEUDOK-1 (eth0) ↔ kataster-tiles (eth0@if2633)";"";"";"in operation"
"KABEL_DEFAULT_15";"BTUGIT-1 (ens160) ↔ gitlab-runner (eth0@if37)";"";"";"in operation"
"KABEL_DEFAULT_157";"GRUPU-2 (eth1) ↔ grupu-celery-worker (eth0@if13962)";"";"";"in operation"
"KABEL_DEFAULT_166";"ETU-HVV-01 (eth0) ↔ oracle-elastic-client-asdb-tu (eth0)";"";"";"in operation"
"KABEL_DEFAULT_18";"BUILD-01 (ens160) ↔ jenkins (eth0@if201542)";"";"";"in operation"
"KABEL_DEFAULT_209";"EGAELK-02 (eth0) ↔ pedantic_ganguly (eth0)";"";"";"in operation"
"KABEL_DEFAULT_212";"NAGIOS-02 (eth0) ↔ telegraf-vsphere (eth0)";"";"";"in operation"
"KABEL_DEFAULT_30";"BTUVDE-2 (eth0) ↔ vde-tiles (eth0@if15)";"";"";"in operation"
"KABEL_DEFAULT_31";"VDE-8 (eth0) ↔ vde-search-public (eth0@if13)";"";"";"in operation"
"KABEL_DEFAULT_33";"BTUSENTRY-1 (eth0) ↔ sentry_onpremise_snuba-api_1 (eth0@if26)";"";"";"in operation"
"KABEL_DEFAULT_52";"BTUZDA-03 (eth0) ↔ postgres (eth0@if49)";"";"";"in operation"
"KABEL_DEFAULT_59";"BEUSENTRY-1 (eth0) ↔ sentry_onpremise_smtp_1 (eth0@if1680)";"";"";"in operation"
"KABEL_DEFAULT_66";"BTUVEKDB-02 (eth0) ↔ vde-mongo (eth0@if5)";"";"";"in operation"
"KABEL_DEFAULT_7";"BTUDC-01 (eth0) ↔ logstash (eth0@if35)";"";"";"in operation"
"KABEL_DEFAULT_72";"AMAP-1 (eth1) ↔ maps-backend (eth0@if67)";"";"";"in operation"
"KABEL_DEFAULT_9";"BTUVDE-3 (eth0) ↔ vde-search-portal (eth0@if15)";"";"";"in operation"
