"Title";"Primary hostaddress";"Primary hostname";"Guest systems";"Manufacturer";"Model";"Location path";"CMDB status"
"10.2.4.127";"10.2.4.127";"";"";"";"";"-";"in operation"
"10.2.4.128";"10.2.4.128";"";"";"";"";"-";"in operation"
"10.2.4.128";"10.2.4.128";"";"";"";"";"-";"in operation"
"10.2.4.129";"10.2.4.129";"";"";"";"";"-";"in operation"
"10.2.4.129";"10.2.4.129";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.142";"10.2.4.142";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.143";"10.2.4.143";"";"";"";"";"-";"in operation"
"10.2.4.27";"10.2.4.27";"";"";"";"";"-";"in operation"
"10.2.4.27";"10.2.4.27";"";"";"";"";"-";"in operation"
"10.2.4.28";"10.2.4.28";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.42";"10.2.4.42";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.43";"10.2.4.43";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"10.2.4.44";"10.2.4.44";"";"";"";"";"-";"in operation"
"rz1-esx-24.bev.int";"10.2.4.24";"rz1-esx-24";"";"";"";"-";"in operation"
"rz1-esx-24.bev.int";"10.2.4.24";"rz1-esx-24";"";"";"";"-";"in operation"
"RZ1-ESX-44.bev.int";"10.2.4.44";"RZ1-ESX-44";"";"";"";"-";"in operation"
