UniqueID;Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
10.6.13.12_10.6.13.12_RZ1-ESX-41;10.6.13.12;10.6.13.12;RZ1-ESX-41;CL_BEU;in operation;Linux
10.6.8.23_10.6.8.23_RZ2-ESX-39;10.6.8.23;10.6.8.23;RZ2-ESX-39;CL_WEB;in operation;Windows Server 2003 Standard
10.70.150.33_10.70.150.33_RZ2-ESX-41;10.70.150.33;10.70.150.33;RZ2-ESX-41;CL_BEU;in operation;Linux
10.75.2.10_10.75.2.10_RZ2-ESX-37;10.75.2.10;10.75.2.10;RZ2-ESX-37;CL_DMZ;in operation;Windows Server 2008 R2
10.75.2.31_10.75.2.31_RZ2-ESX-36;10.75.2.31;10.75.2.31;RZ2-ESX-36;CL_DMZ;in operation;Windows
10.75.2.32_10.75.2.32_RZ1-ESX-37;10.75.2.32;10.75.2.32;RZ1-ESX-37;CL_DMZ;in operation;Windows
10.75.64.134_10.75.64.134_RZ1-ESX-37;10.75.64.134;10.75.64.134;RZ1-ESX-37;CL_DMZ;in operation;Windows Server 2008
10.75.64.135_10.75.64.135_RZ2-ESX-37;10.75.64.135;10.75.64.135;RZ2-ESX-37;CL_DMZ;in operation;Windows Server 2008
3PAR-SSMC2_10.3.100.14_rz2-esx-32.bev.int;3PAR-SSMC2;10.3.100.14;rz2-esx-32.bev.int;CL_PU;in operation;Debian GNU/Linux 11
AC-PU-01_10.1.6.31_RZ2-ESX-59;AC-PU-01;10.1.6.31;RZ2-ESX-59;CL_WEB;in operation;CentOS 4/5
AC-TU-01_10.1.6.21;AC-TU-01;10.1.6.21;;;in operation;CentOS 4/5
AC-TU-01_RZ1-ESX-32;AC-TU-01;;RZ1-ESX-32;CL_PU;in operation;Rocky Linux 9.5
AGIS-G3G4-01.bev.int_RZ1-ESX-33;AGIS-G3G4-01.bev.int;;RZ1-ESX-33;CL_PU;in operation;Windows Server 2019 Datacenter
AMAP-1;AMAP-1;;;;in operation;Rocky Linux 8.6
AMAP-2_10.1.42.82;AMAP-2;10.1.42.82;;;in operation;Rocky Linux 8.6
AMAP-3_10.1.42.85;AMAP-3;10.1.42.85;;;in operation;Rocky Linux 9.2
apexcentral01_10.2.1.115_RZ1-ESX-50;apexcentral01;10.2.1.115;RZ1-ESX-50;CL_PU;in operation;Windows
ApexMPN_10.1.37.112;ApexMPN;10.1.37.112;;;in operation;Windows Server 2019
apexone01_10.2.1.112_RZ1-ESX-34;apexone01;10.2.1.112;RZ1-ESX-34;CL_PU;in operation;Windows
APOS-CORS-01.bev.int_10.1.4.37_RZ1-ESX-38;APOS-CORS-01.bev.int;10.1.4.37;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-BRC-01_10.1.5.121;APOS-EXT-BRC-01;10.1.5.121;;;in operation;CentOS 4/5
APOS-EXT-BRC-02_10.1.5.122_RZ1-ESX-38;APOS-EXT-BRC-02;10.1.5.122;RZ1-ESX-38;CL_APOS;in operation;CentOS 4/5
APOS-EXT-CAS-01_10.1.5.41_RZ2-ESX-40;APOS-EXT-CAS-01;10.1.5.41;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-EXT-CAS-02_10.1.5.42;APOS-EXT-CAS-02;10.1.5.42;;;in operation;Other 4.x or later Linux
APOS-EXT-CAS-03_10.1.5.43_RZ2-ESX-38;APOS-EXT-CAS-03;10.1.5.43;RZ2-ESX-38;CL_APOS;in operation;CentOS 4/5
APOS-EXT-GPP-01_10.1.5.71_RZ1-ESX-38;APOS-EXT-GPP-01;10.1.5.71;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-02_10.1.5.72_RZ2-ESX-38;APOS-EXT-GPP-02;10.1.5.72;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-03_10.1.5.73_RZ2-ESX-38;APOS-EXT-GPP-03;10.1.5.73;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-11_10.1.5.81_RZ2-ESX-38;APOS-EXT-GPP-11;10.1.5.81;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-12_10.1.5.82_RZ2-ESX-38;APOS-EXT-GPP-12;10.1.5.82;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-13_10.1.5.83_rz1-esx-22.bev.int;APOS-EXT-GPP-13;10.1.5.83;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-14_10.1.5.84_rz1-esx-22.bev.int;APOS-EXT-GPP-14;10.1.5.84;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-15_10.1.5.85_RZ1-ESX-38;APOS-EXT-GPP-15;10.1.5.85;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-21_10.1.5.91_RZ2-ESX-38;APOS-EXT-GPP-21;10.1.5.91;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-22_10.1.5.92_RZ2-ESX-38;APOS-EXT-GPP-22;10.1.5.92;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-23_10.1.5.93_rz1-esx-22.bev.int;APOS-EXT-GPP-23;10.1.5.93;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-24_10.1.5.94_RZ1-ESX-38;APOS-EXT-GPP-24;10.1.5.94;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-25_10.1.5.95_RZ2-ESX-40;APOS-EXT-GPP-25;10.1.5.95;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-31_10.1.5.101_rz1-esx-22.bev.int;APOS-EXT-GPP-31;10.1.5.101;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-32_10.1.5.102_RZ2-ESX-40;APOS-EXT-GPP-32;10.1.5.102;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-33_10.1.5.103_RZ2-ESX-40;APOS-EXT-GPP-33;10.1.5.103;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-LOG-01_10.1.5.21_RZ2-ESX-38;APOS-EXT-LOG-01;10.1.5.21;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TPP-01_10.1.5.51_rz1-esx-22.bev.int;APOS-EXT-TPP-01;10.1.5.51;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TPP-02_10.1.5.52_RZ2-ESX-38;APOS-EXT-TPP-02;10.1.5.52;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TRF-01_10.1.5.141;APOS-EXT-TRF-01;10.1.5.141;;;in operation;CentOS 4/5
APOS-EXT-TRF-02_10.1.5.142;APOS-EXT-TRF-02;10.1.5.142;;;in operation;CentOS 4/5
APOS-EXT-TRF-03_10.1.5.143;APOS-EXT-TRF-03;10.1.5.143;;;in operation;CentOS 4/5
APOS-INT-CAS-01_10.1.4.41_RZ2-ESX-40;APOS-INT-CAS-01;10.1.4.41;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-INT-CAS-02_10.1.4.42_RZ2-ESX-40;APOS-INT-CAS-02;10.1.4.42;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-INT-CAS-03_10.1.4.43;APOS-INT-CAS-03;10.1.4.43;;;in operation;CentOS 4/5
