"Gerätemanagementsystem";"Domänenname";"Gerätestatus";"Geräteschlüssel";"Betriebssystem";"E-Mail (Nutzer)";"Gerätetyp";"Hostname";"Hersteller";"Inventarisierungsdatum";"CPU-Kerne (gesamt)";"Anzahl Geräterelationen";"Anzahl Installationen"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rz1-win-02.user.bev.int";"Windows Server 2025";"";"VMWARE: Virtual Machine";"rz1-win-02.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rz2-win-02.user.bev.int";"Windows Server 2025";"";"VMWARE: Virtual Machine";"rz2-win-02.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Inactive";"rzv-geuxpe-15.user.bev.int";"Windows XP";"";"VMWARE: Virtual Machine";"rzv-geuxpe-15";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Inactive";"rzv-geuxpe-09.user.bev.int";"Windows XP";"";"VMWARE: Virtual Machine";"rzv-geuxpe-09.user.bev.int";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Inactive";"apexcentral01.user.bev.int";"Windows Server 2019";"";"VMWARE: Virtual Machine";"apexcentral01";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Inactive";"apexone01.user.bev.int";"Windows";"";"VMWARE: Virtual Machine";"apexone01";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-por-01.user.bev.int";"Windows Server 2003";"";"VMWARE: Virtual Machine";"rzv-por-01.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-24.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-24.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-21.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-21.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-03.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-03.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-geuxpe-08.user.bev.int";"Windows XP";"";"VMWARE: Virtual Machine";"rzv-geuxpe-08.user.bev.int";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-geuxpe-10.user.bev.int";"Windows XP";"";"VMWARE: Virtual Machine";"rzv-geuxpe-10.user.bev.int";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-25.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-25";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-geuvw7-07.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"rzv-geuvw7-07.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-05.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-05.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-01.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-01.user.bev.int";"VMWare";"";"2.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-09.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-09.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-32.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-32.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-31.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-31.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-22.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-22.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-04.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-04.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-por-02.user.bev.int";"Windows Server 2003 Standard";"";"VMWARE: Virtual Machine";"rzv-por-02.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"rzv-geuvw7-02.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"rzv-geuvw7-02.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Inactive";"rzv-beuvxp-21.user.bev.int";"Windows XP";"";"VMWARE: Virtual Machine";"rzv-beuvxp-21.user.bev.int";"VMWare";"";"1.00";"1";"1"
"i-doit | ad | vCenter";"user.bev.int";"Active";"geuvw7-48.user.bev.int";"Windows 7";"";"VMWARE: Virtual Machine";"geuvw7-48.user.bev.int";"VMWare";"";"1.00";"1";"1"
