Modell;ESX;CPU;CORE pro CPU;CORE pro Server;Cluster;OS;VMWARE
Synergy 480 Gen10;rz1-esx-24.bev.int;2;10;20;cl-ctx;WIN;JA
ProLiant DL360 Gen10;rz1-esx-16.bev.int;2;10;20;standalone;WIN;
Synergy 480 Gen10;rz1-esx-21.bev.int;2;10;20;cl_apos;WIN;JA
Synergy 480 Gen10;rz1-esx-22.bev.int;2;10;20;cl_apos;WIN;JA
Synergy 480 Gen10;rz1-esx-25.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-26.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-27.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-28.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-29.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-30.bev.int;2;10;20;cl-ctx;WIN;JA
Synergy 480 Gen10;rz1-esx-31.bev.int;2;10;20;cl_pu;WIN;JA
Synergy 480 Gen10;rz1-esx-32.bev.int;2;10;20;cl_pu;WIN;JA
Synergy 480 Gen10;rz1-esx-33.bev.int;2;10;20;cl_pu;WIN;JA
Synergy 480 Gen10;rz1-esx-34.bev.int;2;10;20;cl_pu;WIN;JA
Synergy 480 Gen10;rz1-esx-35.bev.int;2;10;20;cl_pu_mat;WIN;JA
Synergy 480 Gen10;rz1-esx-36.bev.int;2;10;20;cl_dmz;WIN;JA
Synergy 480 Gen10;rz1-esx-37.bev.int;2;10;20;cl_dmz;WIN;JA
Synergy 480 Gen10;rz1-esx-38.bev.int;2;10;20;cl_apos;WIN;JA
Synergy 480 Gen10;rz1-esx-39.bev.int;2;10;20;cl_web;WIN;JA
Synergy 480 Gen10;rz1-esx-40.bev.int;2;10;20;cl_apos;WIN;JA
Synergy 480 Gen10;rz1-esx-41.bev.int;2;10;20;cl_beu;WIN;JA
Synergy 480 Gen10;rz1-esx-46.bev.int;2;10;20;cl_db;WIN;JA
Synergy 480 Gen10;rz1-esx-47.bev.int;2;10;20;cl_db;WIN;JA
Synergy 480 Gen10;rz1-esx-48.bev.int;2;10;20;ega-web;LINUX;JA
Synergy 480 Gen10;rz1-esx-50.bev.int;2;10;20;cl_pu;WIN;
Synergy 480 Gen10;rz1-esx-51.bev.int;2;10;20;cl_beu;WIN;
Synergy 480 Gen10;rz1-esx-52.bev.int;2;10;20;cl_pu;WIN;
Synergy 480 Gen10;rz1-esx-56.bev.int;2;10;20;cl_dmz-tu;LINUX;
