"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00005190","EGAELK-01","Koller Josef","","","","Server","0","0","0","0"
"K-00005191","EGAELK-02","Koller Josef","","","","Server","0","0","0","0"
"K-00002885","CPEPMGR03","cpepmgr03","Firewalls","Network","Infrastructure","Server","1","4","16384","416"
"K-00002745","RZV-BTUSMQ-04","Sytem Message Queue Server ","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002881","BTUZDA-03","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00000128","VCMAILRELAY","BEV System","VMWare Server","Client Computing","Workplace","Server","5","15","56320","3039"
"K-00002701","RZV-ETUGEOWC-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00002694","RZV-ETUIMD-01","BEV System","","","","Server","0","0","0","0"
"K-00000437","RZV-ETUZLH-01","BEV System","Luftfahrtshindernisregister (ZLHR)","Business Services","Business","Server","8","15","24576","295"
"K-00002748","RZV-BTUSMQ-01","Sytem Message Queue Server ","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002747","RZV-BTUSMQ-02","Sytem Message Queue Server ","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002746","RZV-BTUSMQ-03","Sytem Message Queue Server ","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002765","RZV-BTUGWS-01","BEV System","","","","Server","0","0","0","0"
"K-00002700","RZV-ETUGES-01","BEV System","Luftfahrtshindernisregister (ZLHR)","Business Services","Business","Server","8","15","24576","295"
"K-00003041","RZ2-TMS-01","BEV System","Shop - EGA Geodaten-Portal","Supporting Services","Business","Server","7","20","75776","4136"
"K-00003106","RZ2-AMS-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00003176","RZ1-AMS-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00000207","RZV-SVN-01","BEV System","Subversion","Development","Delivery","Server","1","1","1024","28"
"K-00002724","RZV-COM-03","BEV System","Oracle-DB Plattform","Data","Platform","Server","32","72","898048","171455"
"K-00002723","RZV-COM-04","BEV System","Oracle-DB Plattform","Data","Platform","Server","32","72","898048","171455"
"K-00002766","RZV-BTUGMS-01","BEV System","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00003004","RZV-BEUGMS-01","BEV System","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00003034","RZ2-WSA-01","BEV System","","","","Server","0","0","0","0"
"K-00003066","RZ2-IFT-01","Setznagel","","","","Server","0","0","0","0"
"K-00003072","RZ2-ETUWSA-01","BEV System","","","","Server","0","0","0","0"
"K-00003110","RZ1-WSA-01","BEV System","","","","Server","0","0","0","0"
"K-00003147","RZ1-ETUWSA-01","BEV System","","","","Server","0","0","0","0"
"K-00003160","RZ1-BOM-01","BEV System","Monitoring","Application","Platform","Server","4","10","30720","616"
"K-00000011","messplatz","BEV System","FileServer","Storage","Infrastructure","Server","9","17","131584","1174192"
"K-00000223","RZV-QLOOK-01","BEV System","Shop - EGA Geodaten-Portal","Supporting Services","Business","Server","7","20","75776","4136"
"K-00000260","RZV-MMDB-01","BEV System","MessmittelDatenbank","Supporting Services","Business","Server","1","2","8192","76"
"K-00002771","RZV-BTUEKS-01","MMDB-TU","WorkflowSystem (WFS)","Supporting Services","Business","Server","2","6","20480","217"
"K-00000139","TMSPS01","TMSPS01","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00000220","RZV-SCM-01","Födinger Martin","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00002897","EGAPDL-01","BEV System","Shop - EGA Geodaten-Portal","Supporting Services","Business","Server","7","20","75776","4136"
"K-00002898","EGAPDL-02","BEV System","Shop - EGA Geodaten-Portal","Supporting Services","Business","Server","7","20","75776","4136"
"K-00000148","RZV-WCD-01","BEV System","Shop - EGA Geodaten-Portal","Supporting Services","Business","Server","7","20","75776","4136"
"K-00000439","RZV-ETUWCD-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00000233","RZV-OTUSCM-01","BEV System","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00002754","RZV-BTUNCLOUD-01","BEV System","Nextcloud","Business Services","Business","Server","3","4","10240","4364"
"K-00002860","BEUSENTRY-1","BEV System","Sentry","Development","Delivery","Server","3","8","22528","388"
"K-00000438","RZV-ETUWSA-01","BEV System","","","","Server","0","0","0","0"
"K-00002888","DC-1","BEV System","Datenzentrum DC","Business Services","Business","Server","4","10","20480","11596"
"K-00002889","DC-2","BEV System","Datenzentrum DC","Business Services","Business","Server","4","10","20480","11596"
"K-00002890","DC-3","BEV System","Datenzentrum DC","Business Services","Business","Server","4","10","20480","11596"
"K-00002867","BTUGRUPU-1","BEV System","Nummernreservierung KFS (GruPu)","Business Services","Business","Server","8","20","45056","679"
"K-00002868","BTUGRUPU-2","BEV System","Nummernreservierung KFS (GruPu)","Business Services","Business","Server","8","20","45056","679"
"K-00000021","VERSION-2","BEV System","Gitlab extern","Development","Delivery","Server","1","2","8192","76"
"K-00002830","AST-01","BEV System","AdressServiceTool (AST)","Business Services","Business","Server","3","3","12288","92"
"K-00002831","AST-02","BEV System","AdressServiceTool (AST)","Business Services","Business","Server","3","3","12288","92"
"K-00002879","BTUVEKDB-01","BEV System","","","","Server","0","0","0","0"
"K-00002880","BTUVEKDB-02","BEV System","","","","Server","0","0","0","0"
"K-00002712","RZV-EKP-02","BEV System","Strukturierter Plan (STP)","Supporting Services","Business","Server","6","18","40960","565"
"K-00000299","RZV-GSMETA-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002870","BTUSENTRY-1","BEV System","Sentry","Development","Delivery","Server","3","8","22528","388"
"K-00002855","BEUGIS-1","BEV System","Österreichischer Kataster Informationsportal","Business Services","Business","Server","12","34","67584","1313"
"K-00002861","BTUAST-01","BEV System","AdressServiceTool (AST)","Business Services","Business","Server","3","3","12288","92"
"K-00002862","BTUDC-01","BEV System","Datenzentrum DC","Business Services","Business","Server","4","10","20480","11596"
"K-00000298","RZV-GSMETA-02","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002842","BEUCLX-09","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00002840","BEUCLX-07","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00000142","SENTRY-1","Koller Josef","Sentry","Development","Delivery","Server","3","8","22528","388"
"K-00002902","EGASIGPX-01","BEV System","Signatur","Supporting Services","Business","Server","2","4","12288","101"
"K-00000022","VERSION-1","BEV System","Gitlab intern","Development","Delivery","Server","3","7","24576","1020"
"K-00002968","PVAMA-01","BEV System","Portalverbund AMA","Supporting Services","Business","Server","2","4","16384","93"
"K-00002969","PVAMA-02","BEV System","Portalverbund AMA","Supporting Services","Business","Server","2","4","16384","93"
"K-00002932","GRUPU-1","BEV System","Nummernreservierung KFS (GruPu)","Business Services","Business","Server","8","20","45056","679"
"K-00002934","GRUPU-2","BEV System","Nummernreservierung KFS (GruPu)","Business Services","Business","Server","8","20","45056","679"
"K-00002935","GRUPU-3","BEV System","Nummernreservierung KFS (GruPu)","Business Services","Business","Server","8","20","45056","679"
"K-00000016","ZDA-2","BEV System","","","","Server","0","0","0","0"
"K-00000222","RZV-QRC-01","BEV System","Bearbeitung von historischen Veränderungshinweisen (BHV)","Supporting Services","Business","Server","1","1","1024","21"
"K-00000199","RZV-TRA-01","BEV System","Transformator Portal","Business Services","Business","Server","7","20","40960","1315"
"K-00000234","RZV-OTUOTD-02","BEV System","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00000238","RZV-OTD-02","BEV System","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00000244","RZV-OEUOTD-02","BEV System","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00000250","RZV-NCLOUD-01","BEV System","Nextcloud","Business Services","Business","Server","3","4","10240","4364"
"K-00000272","RZV-LFR-01","BEV System","INSPIRE Metadaten-Editor","Business Services","Business","Server","2","2","2048","22"
"K-00000279","RZV-IMD-01","BEV System","INSPIRE Metadaten-Editor","Business Services","Business","Server","2","2","2048","22"
"K-00000288","RZV-GTUBHV-01","BEV System","","","","Server","0","0","0","0"
"K-00000289","RZV-GTUBHV-02","BEV System","","","","Server","0","0","0","0"
"K-00000435","RZV-FTP-01","Mitterschiffthaler/Setznagel ACDC","","","","Server","0","0","0","0"
"K-00000432","RZV-GEOWC-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00000431","RZV-GEOWC-02","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00000430","RZV-GEUBUI-03","","","","","Server","0","0","0","0"
"K-00000311","RZV-GNS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000310","RZV-GNS-02","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000309","RZV-GNS-03","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000308","RZV-GNS-04","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000307","RZV-GNS-05","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000306","RZV-GNS-07","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000303","RZV-GNSADMIN-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000301","RZV-GSDB-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000300","RZV-GSGWC-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000297","RZV-GSNFS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000296","RZV-GSPPS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000295","RZV-GSWMS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000294","RZV-GSWMS-02","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000293","RZV-GSWPS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000292","RZV-GSWPS-02","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000291","RZV-GSWPS-03","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00000290","RZV-GSWPS-04","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002699","RZV-ETUGSDB-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002698","RZV-ETUGSMS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002696","RZV-ETUGSNFS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002695","RZV-ETUGSPPS-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002713","RZV-EKP-01","BEV System","Strukturierter Plan (STP)","Supporting Services","Business","Server","6","18","40960","565"
"K-00002711","RZV-ELA-01","BEV System","Elastic Search","Development","Delivery","Server","3","8","40960","1059"
"K-00002708","RZV-ESD-01","BEV System","EichstellenDatenbank","Business Services","Business","Server","3","6","20480","137"
"K-00002707","RZV-ESD-02","BEV System","EichstellenDatenbank","Business Services","Business","Server","3","6","20480","137"
"K-00002740","RZV-BTUTRA-01","BEV System","Transformator Portal","Business Services","Business","Server","7","20","40960","1315"
"K-00002732","RZV-BTUZDA-02","BEV System","Zentraler Datenabgleich","Supporting Services","Business","Server","3","5","16384","448"
"K-00002752","RZV-BTUPGR-01","BEV System","Luftfahrtshindernisregister (ZLHR)","Business Services","Business","Server","8","15","24576","295"
"K-00002984","RZV-BTUAPT-02","BEV System","","","","Server","0","0","0","0"
"K-00002987","RZV-BHV-01","BEV System","","","","Server","0","0","0","0"
"K-00002986","RZV-BHV-02","BEV System","","","","Server","0","0","0","0"
